date,year,month,group_code,group_name,short_name,monthly_variation,source_table
2014-10-01,2014,10,5,Transportes,Transportes,0.39,1419
2014-10-01,2014,10,6,Saúde e cuidados pessoais,Saúde,0.39,1419
2014-10-01,2014,10,7,Despesas pessoais,Pessoais,0.36,1419
2014-10-01,2014,10,8,Educação,Educação,0.11,1419
2014-10-01,2014,10,9,Comunicação,Comunicação,-0.05,1419
2014-11-01,2014,11,1,Alimentação e bebidas,Alimentação,0.77,1419
2014-11-01,2014,11,2,Habitação,Habitação,0.69,1419
2014-11-01,2014,11,3,Artigos de residência,Residência,-0.04,1419
2014-11-01,2014,11,4,Vestuário,Vestuário,0.39,1419
2014-11-01,2014,11,5,Transportes,Transportes,0.43,1419
2014-11-01,2014,11,6,Saúde e cuidados pessoais,Saúde,0.42,1419
2014-11-01,2014,11,7,Despesas pessoais,Pessoais,0.48,1419
2014-11-01,2014,11,8,Educação,Educação,0.21,1419
2014-11-01,2014,11,9,Comunicação,Comunicação,0.08,1419
2014-12-01,2014,12,1,Alimentação e bebidas,Alimentação,1.08,1419
2014-12-01,2014,12,2,Habitação,Habitação,0.51,1419
2014-12-01,2014,12,3,Artigos de residência,Residência,0,1419
2014-12-01,2014,12,4,Vestuário,Vestuário,0.85,1419
2014-12-01,2014,12,5,Transportes,Transportes,1.38,1419
2014-12-01,2014,12,6,Saúde e cuidados pessoais,Saúde,0.47,1419
2014-12-01,2014,12,7,Despesas pessoais,Pessoais,0.7,1419
2014-12-01,2014,12,8,Educação,Educação,0.07,1419
2014-12-01,2014,12,9,Comunicação,Comunicação,0,1419
2015-01-01,2015,1,1,Alimentação e bebidas,Alimentação,1.48,1419
2015-01-01,2015,1,2,Habitação,Habitação,2.42,1419
2015-01-01,2015,1,3,Artigos de residência,Residência,-0.28,1419
2015-01-01,2015,1,4,Vestuário,Vestuário,-0.69,1419
2015-01-01,2015,1,5,Transportes,Transportes,1.83,1419
2015-01-01,2015,1,6,Saúde e cuidados pessoais,Saúde,0.32,1419
2015-01-01,2015,1,7,Despesas pessoais,Pessoais,1.68,1419
2015-01-01,2015,1,8,Educação,Educação,0.31,1419
2015-01-01,2015,1,9,Comunicação,Comunicação,0.15,1419
2015-02-01,2015,2,1,Alimentação e bebidas,Alimentação,0.81,1419
2015-02-01,2015,2,2,Habitação,Habitação,1.22,1419
2015-02-01,2015,2,3,Artigos de residência,Residência,0.87,1419
2015-02-01,2015,2,4,Vestuário,Vestuário,-0.6,1419
2015-02-01,2015,2,5,Transportes,Transportes,2.2,1419
2015-02-01,2015,2,6,Saúde e cuidados pessoais,Saúde,0.6,1419
2015-02-01,2015,2,7,Despesas pessoais,Pessoais,0.86,1419
2015-02-01,2015,2,8,Educação,Educação,5.88,1419
2015-02-01,2015,2,9,Comunicação,Comunicação,-0.02,1419
2015-03-01,2015,3,1,Alimentação e bebidas,Alimentação,1.17,1419
2015-03-01,2015,3,2,Habitação,Habitação,5.29,1419
2015-03-01,2015,3,3,Artigos de residência,Residência,0.35,1419
2015-03-01,2015,3,4,Vestuário,Vestuário,0.59,1419
2015-03-01,2015,3,5,Transportes,Transportes,0.46,1419
2015-03-01,2015,3,6,Saúde e cuidados pessoais,Saúde,0.69,1419
2015-03-01,2015,3,7,Despesas pessoais,Pessoais,0.36,1419
2015-03-01,2015,3,8,Educação,Educação,0.75,1419
2015-03-01,2015,3,9,Comunicação,Comunicação,-1.16,1419
2015-04-01,2015,4,1,Alimentação e bebidas,Alimentação,0.97,1419
2015-04-01,2015,4,2,Habitação,Habitação,0.93,1419
2015-04-01,2015,4,3,Artigos de residência,Residência,0.66,1419
2015-04-01,2015,4,4,Vestuário,Vestuário,0.91,1419
2015-04-01,2015,4,5,Transportes,Transportes,0.11,1419
2015-04-01,2015,4,6,Saúde e cuidados pessoais,Saúde,1.32,1419
2015-04-01,2015,4,7,Despesas pessoais,Pessoais,0.51,1419
2015-04-01,2015,4,8,Educação,Educação,0.21,1419
